# Third-party component registry for Percona XtraDB Cluster SBOM generation.
#
# Vendored C/C++ trees carry no package manifest, so no scanner can derive this
# inventory. This file is authoritative. check-components.sh validates it
# against the source tree on every build and fails on drift.
#
# Format (pipe-separated, surrounding space ignored, '#' starts a comment):
#
#   name | version | license | ships | linkage | path | version-src | notes
#
#   ships        yes       present in every shipped artifact
#                tarball   present only in the binary tarball
#                no        present in the source tree but not built or not shipped
#                uncertain needs a decision; an error unless allowlisted
#   linkage      shared-lib | static | header-only | data | source
#   path         tree path used for validation; '-' if not applicable
#   version-src  dir            version must appear in the final path component
#                file:<path>    version must appear literally in that file
#                none           no automated verification is possible
#   license      SPDX identifier or expression
#
# Components at a path listed in .gitmodules are resolved to their pinned commit
# at build time; that commit is emitted alongside the version.
#
# Only ships=yes and ships=tarball rows are emitted, filtered by artifact.
#
# Scope note: the packages also bundle prebuilt Percona XtraBackup trees under
# /usr/bin/pxc_extra (pxb-8.0, pxb-8.4), fetched at build time by pxc_builder.sh
# rather than present in this source tree. They are Percona products carrying
# their own SBOMs and are deliberately not enumerated here.

# --- shipped: cluster replication (PXC-specific) -----------------------------
galera           | 4.24         | GPL-2.0-only | yes | shared-lib  | percona-xtradb-cluster-galera | none | submodule; ships libgalera_smm.so in the -server package; version from GALERA_VERSION (MAJOR.MINOR)
wsrep-lib        | 1.0.0        | GPL-2.0-or-later | yes | static | wsrep-lib | none | submodule; version from include/wsrep/version.hpp (separate MAJOR/MINOR/PATCH defines, no literal)
wsrep-API        | 26.1         | GPL-2.0-only | yes | header-only | wsrep-lib/wsrep-API/v26 | file:wsrep-lib/wsrep-API/v26/wsrep_api.h | nested submodule of both galera and wsrep-lib at the same commit 7fe08ed3; version is WSREP_INTERFACE_VERSION
asio             | 1.14.1       | BSL-1.0      | yes | header-only | percona-xtradb-cluster-galera/asio | file:percona-xtradb-cluster-galera/asio/asio/version.hpp | vendored inside galera; used by the gcomm transport

# --- shipped: bundled libraries installed as files ---------------------------
protobuf         | 24.4         | BSD-3-Clause | yes | shared-lib  | extra/protobuf/protobuf-24.4                 | dir | ships under lib/mysql/private and lib/mysqlrouter/private
utf8_range       | unknown      | MIT          | yes | static      | extra/protobuf/protobuf-24.4/third_party/utf8_range | none | vendored inside bundled protobuf and compiled into it; no independent version marker upstream
abseil-cpp       | 20230802.1   | Apache-2.0   | yes | shared-lib  | extra/abseil/abseil-cpp-20230802.1           | dir | slaved to WITH_PROTOBUF=bundled; ships libabsl_*
icu              | 77.1         | Unicode-3.0  | yes | shared-lib  | extra/icu/icu-release-77-1                   | dir | ships as the icu-data-files package; no LICENSE in tree, headers cite unicode.org/copyright.html

# --- shipped: bundled libraries linked into the binaries ---------------------
zlib             | 1.3.1        | Zlib         | yes | static      | extra/zlib/zlib-1.3.1                        | dir | -DWITH_ZLIB=bundled in the RPM and DEB recipes
zstd             | 1.5.7        | BSD-3-Clause | yes | static      | extra/zstd/zstd-1.5.7                        | dir | -DWITH_ZSTD=bundled; COPYING GPL-2.0 covers the CLI, which is not built
lz4              | 1.10.0       | BSD-2-Clause | yes | static      | extra/lz4/lz4-1.10.0                         | dir | only lib/ is compiled; programs/ GPL-2.0 not built
xxhash           | 0.8.3        | BSD-2-Clause | yes | static      | extra/xxhash/xxHash-0.8.3                    | dir | unconditional; no LICENSE in tree, BSD-2 asserted from header
libbacktrace     | 793921876c981 | BSD-3-Clause | yes | static     | extra/libbacktrace/sha793921876c981          | dir | WITH_EXT_BACKTRACE defaults ON on Linux; version is the pinned commit; no LICENSE in tree
libedit          | 20240808-3.1 | BSD-3-Clause | yes | static      | extra/libedit/libedit-20240808-3.1           | dir | -DWITH_EDITLINE=bundled
libcno           | 208939f540957a35b337dacdd5c5e34d51821bd2 | MIT | yes | static | extra/libcno/libcno-208939f540957a35b337dacdd5c5e34d51821bd2 | dir | unconditional; static into the router HTTP libs
picohttpparser   | unknown      | MIT OR Artistic-1.0-Perl | yes | static | extra/libcno/libcno-208939f540957a35b337dacdd5c5e34d51821bd2/picohttpparser | none | vendored inside libcno and compiled into it; no LICENSE file, dual license asserted from the header
libcbor          | 0.11.0       | MIT          | yes | static      | extra/libcbor/libcbor-0.11.0                 | dir | slaved to WITH_FIDO=bundled
libfido2         | 1.15.0       | BSD-2-Clause | yes | static      | extra/libfido2/libfido2-1.15.0               | dir | -DWITH_FIDO=bundled on DEB and on RPM where add_fido_plugins is set
libkmip          | d855fbf733234c388d44e549239b918c7cf8276d | Apache-2.0 OR BSD-3-Clause | yes | static | extra/libkmip | none | submodule at upstream tag 0.3.3; version is the pinned commit
coredumper       | 8f2623b6d34bfc4e691bdf67b4a0d37c77513ac7 | BSD-3-Clause | yes | static | extra/coredumper | none | submodule; version is the pinned commit
opensslpp        | 1.0.0        | GPL-2.0-only | yes | static      | extra/opensslpp                              | file:extra/opensslpp/CMakeLists.txt | Percona-authored; WITH_ENCRYPTION_UDF=ON; no LICENSE in tree

# --- shipped: header-only, compiled into the binaries ------------------------
boost            | 1.84.0       | BSL-1.0      | yes | header-only | extra/boost/boost_1_84_0                     | dir | always bundled, boost.cmake hardcodes the tree; trimmed subset; no LICENSE in tree
rapidjson        | 1.1.0        | MIT          | yes | header-only | extra/rapidjson                              | none | -DWITH_RAPIDJSON=bundled; version is only in preprocessor defines, not as a literal
unordered_dense  | 4.4.0        | MIT          | yes | header-only | extra/unordered_dense/unordered_dense-4.4.0  | dir | unconditional

# --- not shipped -------------------------------------------------------------
curl             | 8.14.1       | curl         | no  | source      | extra/curl/curl-8.14.1                       | dir | -DWITH_CURL=system on RPM; never passed on DEB or tarball, so the UNIX default (system) applies. PXC bundles no curl
tirpc            | 1.3.5        | BSD-3-Clause | no  | source      | extra/tirpc/libtirpc-1.3.5                   | dir | bundled only with a custom OpenSSL path on RHEL8/9; no PXC recipe passes one, so the system libtirpc is used
googletest       | 1.17.0       | BSD-3-Clause | no  | source      | extra/googletest/googletest-1.17.0           | dir | compiled for unit tests but no test artifact is packaged
gperftools       | 2.15         | BSD-3-Clause | no  | source      | extra/gperftools/gperftools-2.15             | dir | WITH_TCMALLOC defaults OFF and is never passed
doxygen-awesome  | 2.2.0        | MIT          | no  | data        | extra/doxygen-awesome/2.2.0                  | dir | documentation CSS only; no CMake reference
